item_id,item_name,category,quantity,unit_price,reorder_level,last_order_date,location
001,Raw Cotton White,raw_material,850,kg,2.50,300,2026-07-05,North Warehouse
002,Raw Cotton Colored,raw_material,400,kg,3.00,200,2026-07-05,North Warehouse
003,Dye Blue Basic,material,80,l,5.00,30,2026-06-25,Chemical Room
004,Dye Red Premium,material,45,l,7.00,20,2026-06-25,Chemical Room
005,Dye Green Natural,material,35,l,8.00,15,2026-06-25,Chemical Room
006,Thread Cotton White,raw_material,2000,spools,0.50,500,2026-07-01,West Warehouse
007,Thread Silk,raw_material,800,spools,1.50,200,2026-07-01,West Warehouse
008,Thread Metallic,raw_material,300,spools,2.00,100,2026-07-01,West Warehouse
009,Fabric Roll Cotton,product,450,meters,10.00,100,2026-07-10,Finished Goods
010,Fabric Roll Silk,product,150,meters,25.00,50,2026-07-10,Finished Goods
011,Fabric Roll Blended,product,200,meters,15.00,80,2026-07-10,Finished Goods
012,Finished Saree Classic,product,85,pieces,120.00,30,2026-07-15,Finished Goods
013,Finished Saree Premium,product,40,pieces,250.00,15,2026-07-15,Finished Goods
014,Finished Saree Designer,product,25,pieces,400.00,10,2026-07-15,Finished Goods
015,Finished Kurti,product,60,pieces,180.00,20,2026-07-08,Finished Goods
016,Finished Kurta,product,55,pieces,250.00,15,2026-07-08,Finished Goods
017,Finished Dupatta,product,120,pieces,80.00,40,2026-07-08,Finished Goods
018,Packaging Box Small,packaging,500,pieces,0.50,200,2026-06-30,Packaging Room
019,Packaging Box Medium,packaging,300,pieces,1.00,100,2026-06-30,Packaging Room
020,Packaging Box Large,packaging,150,pieces,2.00,50,2026-06-30,Packaging Room
021,Buttons Plastic,material,8000,pieces,0.05,2000,2026-06-28,Material Room
022,Buttons Brass,material,3000,pieces,0.20,500,2026-06-28,Material Room
023,Zippers,material,1000,pieces,0.50,200,2026-06-28,Material Room
024,Lace Trim,material,500,meters,1.00,100,2026-06-28,Material Room
025,Labels Custom,packaging,1000,pieces,0.25,200,2026-07-01,Packaging Room
